Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,MSS--10---,SOCIAL STUDIES 10,Social Studies,,,Regular,161,,161,,24,,6.0
,,,,,,,,0,,,,,
,MSS--10C--,SOCIAL STUDIES 10 CHALLENGE,Social Studies,,,Regular,45,,45,,24,,2.0
,,,,,,,,0,,,,,
,MTAUT11---,AUTOMOTIVE TECHNOLOGY 11,Applied Skills,,,Regular,39,,57,,21,,3.0
,,,,,,,,18,,,,,
,MTAUT12---,AUTOMOTIVE TECHNOLOGY 12,Applied Skills,,,Regular,29,,40,,21,,3.0
,,,,,,,,11,,,,,
,MTDRF10---,ADST –  DRAFTING 10,Applied Skills,,,Regular,23,,44,,24,,3.0
,,,,,,,,21,,,,,
,MTDRF11---,DRAFTING 11,Applied Skills,,,Regular,11,,31,,24,,3.0
,,,,,,,,20,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 10,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MTDRF12---,DRAFTING 12,Applied Skills,,,Regular,13,,21,,24,,3.0
,,,,,,,,8,,,,,
,MTEAR10---,ADST –  ELECTRONICS AND ROBOTICS 10,Applied Skills,,,Regular,10,,23,,24,,2.0
,,,,,,,,13,,,,,
,MTEAR10--L,ADST –  ELECTRONICS AND ROBOTICS 10 Linear,Applied Skills,,,Regular,5,,5,,24,,1.0
,,,,,,,,0,,,,,
,MTEXP10---,ADST-Technology Explorations 10,Information Tech,,,,31,,56,,24,,6.0
,,,,,,,,25,,,,,
,MTPOW10---,ADST –  POWER TECHNOLOGY 10,Applied Skills,,,Regular,28,,41,,21,,2.0
,,,,,,,,13,,,,,
,MTROB11---,ROBOTICS 11,Applied Skills,,,Regular,7,,13,,24,,3.0
,,,,,,,,6,,,,,
,MTROB11--L,ROBOTICS 11 LINEAR,Applied Skills,,,Regular,10,,10,,24,,1.0
,,,,,,,,0,,,,,
,MTROB12---,ROBOTICS 12,Applied Skills,,,Regular,3,,10,,24,,2.0
,,,,,,,,7,,,,,
,MTROB12--L,ROBOTICS 12 LINEAR,Applied Skills,,,Regular,6,,6,,24,,1.0
,,,,,,,,0,,,,,
,MTXT-10---,TEXTILES 10,Applied Skills,,,Regular,18,,41,,23,,3.0
,,,,,,,,23,,,,,
,MTXT-11---,TEXTILES 11,Applied Skills,,,Regular,10,,17,,23,,3.0
,,,,,,,,7,,,,,
,MTXT-12---,TEXTILES 12,Applied Skills,,,Regular,31,,39,,23,,3.0
,,,,,,,,8,,,,,
,MVA--09---,VISUAL ARTS 9,Fine Arts,,,Regular,25,,46,,29,,2.0
,,,,,,,,21,,,,,
,MVAPH10---,VISUAL ARTS: PHOTOGRAPHY 10,Fine Arts,,,Regular,25,,51,,24,,2.0
,,,,,,,,26,,,,,
,MVAPH11---,PHOTOGRAPHY 11,Fine Arts,,,Regular,20,,35,,24,,2.0
,,,,,,,,15,,,,,
,MVAPH12---,PHOTOGRAPHY 12,Fine Arts,,,Regular,7,,16,,24,,2.0
,,,,,,,,9,,,,,
,MVAST10---,VISUAL ARTS: ART STUDIO 10,Fine Arts,,,Regular,16,,28,,29,,2.0
,,,,,,,,12,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 11,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MVAST11---,ART STUDIO 11,Fine Arts,,,Regular,8,,22,,29,,2.0
,,,,,,,,14,,,,,
,MVAST12---,ART STUDIO 12,Fine Arts,,,Regular,9,,16,,29,,2.0
,,,,,,,,7,,,,,
,MWBDV10IT-,Information and Communications Technologies 10,Information Tech,,,,16,,24,,24,,2.0
,,,,,,,,8,,,,,
,MWEX-2A--L,WORK EXPERIENCE 12A LINEAR,Career Prep,,,Regular,17,,17,,29,,1.0
,,,,,,,,0,,,,,
,MWEX-2B--L,WORK EXPERIENCE 12B LINEAR,Career Prep,,,Regular,4,,4,,29,,1.0
,,,,,,,,0,,,,,
,MWH--12---,20th CENTURY WORLD HISTORY 12,Social Studies,,,,35,,44,,24,,2.0
,,,,,,,,9,,,,,
,MWPM-10---,WORKPLACE MATHEMATICS 10,Mathematics,,,Regular,27,,27,,29,,1.0
,,,,,,,,0,,,,,
,MWPM-11---,WORKPLACE MATHEMATICS 11,Mathematics,,,Regular,24,,24,,29,,1.0
,,,,,,,,0,,,,,
,MWWK-10---,ADST –  WOODWORK 10,Applied Skills,,,Regular,17,,39,,21,,2.0
,,,,,,,,22,,,,,
,MWWK-11---,WOODWORK 11,Applied Skills,,,Regular,19,,28,,21,,2.0
,,,,,,,,9,,,,,
,MWWK-12---,WOODWORK 12,Applied Skills,,,Regular,20,,26,,21,,2.0
,,,,,,,,6,,,,,
,XBA--09C-L,CONCERT BAND 9 Linear,Band,,,Regular,31,,37,,100,,1.0
,,,,,,,,6,,,,,
,XBA--09G--,CONCERT BAND 9 - Guitar,Band,,,Regular,24,,46,,29,,1.0
,,,,,,,,22,,,,,
,XBA--09J-L,JAZZ BAND 9 LINEAR,Music,,,Regular,16,,16,,100,,1.0
,,,,,,,,0,,,,,
,XC---09--L,CONCERT CHOIR 9 Linear,Music,,,Regular,10,,10,,50,,1.0
,,,,,,,,0,,,,,
